feature,coefficient,abs_coefficient
num__hypertension,0.12009335086617011,0.12009335086617011
cat__sex_Other,-0.0995029520960977,0.0995029520960977
cat__sex_Female,0.08881740134939968,0.08881740134939968
num__diabetes,0.08618659419403774,0.08618659419403774
cat__sex_Male,0.06374317530409525,0.06374317530409525
num__creatinine,0.038767037054617585,0.038767037054617585
num__age,0.036042118460209056,0.036042118460209056
num__cholesterol,0.016343327345452834,0.016343327345452834
num__bmi,-0.012277902585028956,0.012277902585028956
num__diastolic_bp,0.010555179029475153,0.010555179029475153
num__glucose,0.003442783829625373,0.003442783829625373
num__systolic_bp,-0.0018672088152233426,0.0018672088152233426
